geoid,State,FIPS,USPS,District,State_District,District,Representative,Total_Projected_to_Lose_Coverage,Total_Coverage_Loss_2026,Party,2016_P_Result
0101,Alabama,01,AL,01,AL-01,01,Bradley Byrne,22611,67100,R,R
0102,Alabama,01,AL,02,AL-02,02,Martha Roby,15952,62000,R,R
0103,Alabama,01,AL,03,AL-03,03,Michael Rogers,16262,65000,R,R
0104,Alabama,01,AL,04,AL-04,04,Robert Aderholt,18043,65500,R,R
0105,Alabama,01,AL,05,AL-05,05,Morris Brooks Jr.,19669,61400,R,R
0106,Alabama,01,AL,06,AL-06,06,Gary Palmer,18430,53100,R,R
0107,Alabama,01,AL,07,AL-07,07,Terri Sewell,17268,70300,D,D
0200,Alaska,02,AK,AL,AK-AL,00,Don Young,37328,44500,R,R
0401,Arizona,04,AZ,01,AZ-01,01,Tom O'Halleran,110494,46500,D,R
0402,Arizona,04,AZ,02,AZ-02,02,Martha McSally,41011,40100,R,D
0403,Arizona,04,AZ,03,AZ-03,03,Raul Grijalva,80271,52400,D,D
0404,Arizona,04,AZ,04,AZ-04,04,Paul Gosar,71468,39800,R,R
0405,Arizona,04,AZ,05,AZ-05,05,Andy Biggs,42614,40700,R,R
0406,Arizona,04,AZ,06,AZ-06,06,David Schweikert,42614,37700,R,R
0407,Arizona,04,AZ,07,AZ-07,07,Ruben Gallego,42614,71300,D,D
0408,Arizona,04,AZ,08,AZ-08,08,Trent Franks,42614,39800,R,R
0409,Arizona,04,AZ,09,AZ-09,09,Kyrsten Sinema,42614,50700,D,D
0501,Arkansas,05,AR,01,AR-01,01,Rick Crawford,122579,51000,R,R
0502,Arkansas,05,AR,02,AR-02,02,French Hill,83945,45300,R,R
0503,Arkansas,05,AR,03,AR-03,03,Steve Womack,76561,51600,R,R
0504,Arkansas,05,AR,04,AR-04,04,Bruce Westerman,97669,48900,R,R
0601,California,06,CA,01,CA-01,01,Doug LaMalfa,101807,45600,R,R
0602,California,06,CA,02,CA-02,02,Jared Huffman,92343,41100,D,D
0603,California,06,CA,03,CA-03,03,John Garamendi,85431,44500,D,D
0604,California,06,CA,04,CA-04,04,Tom McClintock,74010,38200,R,R
0605,California,06,CA,05,CA-05,05,Mike Thompson,84584,43500,D,D
0606,California,06,CA,06,CA-06,06,Doris Matsui,109245,57100,D,D
0607,California,06,CA,07,CA-07,07,Ami Bera,78040,44800,D,D
